timestamp,total,data_engineering,ml_ai,security,software,cloud_devops,other,companies,adelaide,remote
2026-06-10T04:52:13.396Z,37,3,4,1,23,1,5,7,0,1
2026-06-10T04:54:08.763Z,37,3,4,1,23,1,5,7,0,1
2026-06-10T10:18:45.455Z,37,3,4,1,23,1,5,7,0,1
2026-06-10T16:00:36.729Z,37,3,4,1,23,1,5,7,0,1
2026-06-10T20:42:38.004Z,37,3,4,1,23,1,5,7,0,1
2026-06-10T22:55:08.899Z,37,3,4,1,23,1,5,7,0,1
2026-06-11T04:53:21.637Z,37,3,4,1,23,1,5,7,0,1
2026-06-11T10:54:42.668Z,37,3,4,1,23,1,5,7,0,1
2026-06-11T16:17:53.346Z,37,3,4,1,23,1,5,7,0,1
2026-06-11T20:32:12.515Z,37,3,4,1,23,1,5,7,0,1
2026-06-11T22:53:22.642Z,37,3,4,1,23,1,5,7,0,1
2026-06-12T04:56:49.404Z,38,3,4,1,25,1,4,6,0,1
2026-06-12T10:37:42.930Z,38,3,4,1,25,1,4,6,0,1
2026-06-12T15:34:38.232Z,38,3,4,1,25,1,4,6,0,1
2026-06-12T20:22:08.734Z,38,3,4,1,25,1,4,6,0,1
2026-06-12T22:43:03.565Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T04:43:28.700Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T09:30:22.893Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T14:20:30.217Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T16:24:50.536Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T19:48:58.588Z,38,3,4,1,25,1,4,6,0,1
2026-06-13T22:15:02.074Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T05:01:30.589Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T09:52:27.176Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T14:23:01.117Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T16:44:09.075Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T19:50:55.662Z,38,3,4,1,25,1,4,6,0,1
2026-06-14T22:18:59.754Z,38,3,4,1,25,1,4,6,0,1
2026-06-15T05:21:39.625Z,37,3,4,1,24,1,4,6,0,1
2026-06-15T12:38:13.408Z,37,3,4,1,24,1,4,6,0,1
2026-06-15T19:07:22.975Z,37,3,4,1,24,1,4,6,0,1
2026-06-15T23:07:16.636Z,37,3,4,1,24,1,4,6,0,1
2026-06-16T05:25:12.250Z,37,3,4,1,24,1,4,6,0,1
2026-06-16T11:30:08.791Z,37,3,4,1,24,1,4,6,0,1
2026-06-16T17:17:15.937Z,37,3,4,1,24,1,4,6,0,1
2026-06-16T21:15:27.992Z,37,3,4,1,24,1,4,6,0,1
2026-06-17T05:05:08.949Z,36,2,4,1,24,1,4,6,0,1
2026-06-17T11:13:43.702Z,38,2,4,1,26,1,4,6,0,1
2026-06-17T15:57:28.009Z,38,2,4,1,26,1,4,6,0,1
2026-06-17T20:27:13.678Z,38,2,4,1,26,1,4,6,0,1
2026-06-17T22:50:08.104Z,38,2,4,1,26,1,4,6,0,1
2026-06-18T04:54:56.759Z,38,2,4,1,26,1,4,6,0,1
2026-06-18T10:43:46.966Z,38,2,4,1,26,1,4,6,0,1
2026-06-18T15:48:51.139Z,38,2,4,1,26,1,4,6,0,1
2026-06-18T20:36:14.013Z,38,2,4,1,26,1,4,6,0,1
2026-06-18T23:00:13.250Z,38,2,4,1,26,1,4,6,0,1
2026-06-19T05:18:13.931Z,38,2,4,1,26,1,4,6,0,1
2026-06-19T10:54:02.709Z,38,2,4,1,26,1,4,6,0,1
2026-06-19T15:37:50.524Z,38,2,4,1,26,1,4,6,0,1
2026-06-19T20:00:13.545Z,38,2,4,1,26,1,4,6,0,1
2026-06-19T22:11:34.437Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T04:26:17.644Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T09:31:52.625Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T14:25:06.150Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T16:42:57.107Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T19:49:48.775Z,38,2,4,1,26,1,4,6,0,1
2026-06-20T22:18:33.508Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T05:10:21.466Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T10:02:37.168Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T14:29:01.274Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T16:52:09.832Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T19:57:17.939Z,38,2,4,1,26,1,4,6,0,1
2026-06-21T22:21:21.118Z,38,2,4,1,26,1,4,6,0,1
2026-06-22T05:23:10.765Z,39,2,4,1,27,1,4,6,0,1
2026-06-22T12:22:15.354Z,40,2,4,1,27,1,5,6,0,1
2026-06-22T18:52:03.763Z,40,2,4,1,27,1,5,6,0,1
2026-06-22T22:52:14.810Z,40,2,4,1,27,1,5,6,0,1
2026-06-23T04:15:47.933Z,39,1,4,2,26,1,5,7,0,2
2026-06-23T09:59:23.979Z,39,1,4,2,26,1,5,7,0,2
2026-06-23T15:20:09.378Z,39,1,4,2,26,1,5,7,0,2
